gid,sac,sa,type,geom
125,411827,RSSPKSXA,HCPM-GNIS,0101000000F0CF566F9E4B59C0B9FFC874E8744340
126,411826,GOVEKSXA,HCPM-GNIS,0101000000CF3D35A8471F59C0D641B9C8987A4340
127,411777,UTICKSXA,HCPM-GNIS,01010000000BAA57DBDE0A59C016E5886B6B524340
128,411827,HELYKSXA,HCPM-GNIS,0101000000FBD236597E2759C0A90A5751CD4C4340
129,411777,BELRKSXA,HCPM-GNIS,0101000000931D1B81780C59C0BB6D9516E4384340
130,411841,INGLKSXA,HCPM-GNIS,010100000006E0FA0B181D59C094128255F5E94240
131,411841,CMRNKSXA,HCPM-GNIS,0101000000463DE9E9481659C0D988168F41E74240
132,411841,ENSGKSXA,HCPM-GNIS,01010000008276E2CDF50E59C0582BC9F08ED34240
133,411841,CPLDKSXA,HCPM-GNIS,0101000000F163CC5D4B2859C0297B4B395FC54240
134,411826,LGISKSXA,HCPM-GNIS,0101000000DF09ACD24CE258C07948E7B287F94340
135,411826,BROKKSXA,HCPM-GNIS,010100000068E32DFC859358C083E38D27DDEE4340
136,411826,WBBRKSXA,HCPM-GNIS,0101000000E659492B3E8258C0DC2A8881AEF74340
137,411826,PRVWKSXA,HCPM-GNIS,0101000000DBBC1699A5E458C00413C9A18FEA4340
138,411826,AGRAKSXA,HCPM-GNIS,0101000000DDF934DDA1C758C0420CCFA67EE14340
139,411826,KETNKSXA,HCPM-GNIS,01010000003728AB3308C258C0B4FC659C2BE24340
140,411826,ATHOKSXA,HCPM-GNIS,01010000005BB8077CD9BA58C0584744E7EBE14340
141,411826,LBNNKSXA,HCPM-GNIS,01010000006FE0C4468FA358C08879A05FA5E74340
142,411826,ESBNKSXA,HCPM-GNIS,01010000000245D1A8E59B58C04B92E7FA3EE94340
143,411826,EDMDKSXA,HCPM-GNIS,010100000028E494CAA5F458C0C3D1FA0049D04340
144,411826,LOGNKSXA,HCPM-GNIS,01010000006BC7C33181E458C004CCD7C0B1D44340
145,411826,GYLRKSXA,HCPM-GNIS,0101000000FE5360B73EB658C07CF2B0506BD24340
146,411826,IONIKSXA,HCPM-GNIS,0101000000F2BF4B5F3E9658C0686787AEFAD44340
147,411761,RNDLKSXA,HCPM-GNIS,01010000009B98897DDD8258C08DB5BFB33DD24340
148,411826,HLCYKSXA,HCPM-GNIS,010100000002A72D64E4F558C053B70E69AFAE4340
149,411826,WDTNKSXA,HCPM-GNIS,01010000003E810B0D1FC658C005E165E146BA4340
150,411826,ALTNKSXA,HCPM-GNIS,010100000030E4C74EAEBC58C08A833A9B44BC4340
